,title,description,exploitability,risk_level,cve_id,platform,consequences,privilege,access_vector,access_complexity,confidentiality_impact,integrity_impact,availability_impact
0,Identity Python PySAML2 security bypass,"Identity Python PySAML2 could allow a remote attacker to bypass security restrictions, caused by not validating the SAML document against an XML schema. By persuading a victim to open a specially-crafted XML document, an attacker could exploit this vulnerability to process invalid SAML XML documents.",Unproven,6.5,CVE-2021-21238,Identity Python PySAML2 6.4.1,Bypass Security,None,Network,Low,None,High,None
1,Identity Python PySAML2 security bypass,"Identity Python PySAML2 could allow a remote attacker to bypass security restrictions, caused by not ensure that a signed SAML document is correctly signed by the xmlsec1 binary. By persuading a victim to open a specially-crafted XML document, an attacker could exploit this vulnerability to process invalid SAML XML documents.",Unproven,6.5,CVE-2021-21239,Identity Python PySAML2 6.4.1,Bypass Security,None,Network,Low,None,High,None
2,Python PyCArg_repr function buffer overflow,"Python is vulnerable to a buffer overflow, caused by improper bounds checking by the PyCArg_repr function in _ctypes/callproc.c. By sending specially-crafted arguments to c_double.from_param, a remote attacker could overflow a buffer and execute arbitrary code on the system.",Unproven,9.8,CVE-2021-3177,Python Python 3.7,Gain Access,None,Network,Low,High,High,High
3,Python Flask-Security-Too package cross-site request forgery,"Python Flask-Security-Too package is vulnerable to cross-site request forgery, caused by improper validation of user-supplied input by the /login and /change endpoints. By persuading an authenticated user to visit a malicious Web site, a remote attacker could send a malformed HTTP request to obtain the authentication token information. An attacker could exploit this vulnerability to perform cross-site scripting attacks, Web cache poisoning, and other malicious activities.",Unproven,7.4,CVE-2021-21241,Python Flask-Security-Too package 3.3.0,Gain Access,None,Network,Low,High,None,None
4,Crossbar.io Autobahn|Python header injection,"Crossbar.io Autobahn|Python is vulnerable to HTTP header injection, caused by improper validation of input. By persuading a victim to visit a specially-crafted Web page, a remote attacker could exploit this vulnerability to inject arbitrary HTTP headers, which will allow the attacker to conduct various attacks against the vulnerable system, including cross-site scripting, cache poisoning or session hijacking.",Unproven,4.7,CVE-2020-35678,Crossbar.io Autobahn|Python 20.12.2,Data Manipulation,None,Network,Low,None,Low,None
5,python-apt denial of service,"python-apt is vulnerable to a denial of service, caused by various memory and file descriptor leaks in apt-python files python/arfile.cc, python/tag.cc, python/tarfile.cc. By persuading a victim to open a specially crafted file, a local attacker could exploit this vulnerability to consume all available resources.",Unproven,3.3,CVE-2020-27351,Python python-apt 1.1.0,Denial of Service,None,Local,Low,None,None,Low
6,OpenIDC Python OpenID Connect security bypass,"OpenIDC Python OpenID Connect could allow a remote attacker to bypass security restrictions, caused by multiple cryptographic issues. By sending a specially-crafted request, an attacker could exploit this vulnerability to perform replay attack and cipher downgrade.",Unproven,8.2,CVE-2020-26244,OpenIDC Python OpenID Connect 1.2.0,Bypass Security,None,Network,Low,Low,High,None
7,Python LXML cross-site scripting,"Python LXML is vulnerable to cross-site scripting, caused by improper validation of user-supplied input by the clean module. A remote attacker could exploit this vulnerability using a specially-crafted URL to execute script in a victim's Web browser within the security context of the hosting Web site, once the URL is clicked. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",Unproven,6.1,CVE-2020-27783,lxml lxml 3.3.4,Cross-Site Scripting,None,Network,Low,Low,Low,None
8,python-cryptography information disclosure,"python-cryptography could allow a remote attacker to obtain sensitive information, caused by a Bleichenbacher timing attack. By sending a specially-crafted request using the RSA decryption API, an attacker could exploit this vulnerability to obtain parts of the cipher text encrypted with RSA, and use this information to launch further attacks against the affected system.",Unproven,7.5,CVE-2020-25659,Python python-cryptography 3.2.0,Obtain Information,None,Network,Low,High,None,None
9,Apple macOS Big Sur security bypass,"Apple macOS Big Sur could allow a local attacker to bypass security restrictions, caused by multiple issues in the python or Ruby component. By using a specially-crafted application, an attacker could exploit this vulnerability to modify the file system.",Unproven,5.5,CVE-2020-27896,Apple macOS Big Sur 11.0.0,Bypass Security,None,Local,Low,None,High,None
10,Python-RSA information disclosure,"Python-RSA could allow a remote attacker to obtain sensitive information, caused by a Bleichenbacher timing attack. By sending a specially-crafted request using the RSA decryption API, an attacker could exploit this vulnerability to obtain parts of the cipher text encrypted with RSA, and use this information to launch further attacks against the affected system.",Unproven,5.3,CVE-2020-25658,Python-RSA Python-RSA 4.6,Obtain Information,None,Network,Low,Low,None,None
11,lookatme (python/pypi package) command execution,"lookatme (python/pypi package) could allow a remote authenticated attacker to execute arbitrary commands on the system, caused by an issue when automatically loading the built-in terminal and file_loader extensions. By persuading a victim to render a specially-crafted markdown, an attacker could exploit this vulnerability to execute arbitrary shell commands on the system.",Unproven,8.8,CVE-2020-15271,lookatme lookatme 2.2.0,Gain Access,None,Network,Low,High,High,High
12,Synopsys hub-rest-api-python (aka blackduck on PyPI) man-in-the-middle attack,"Synopsys hub-rest-api-python (aka blackduck on PyPI) is vulnerable to a man-in-the-middle attack, caused by improper validation of SSL certificates in certain cases. An attacker could exploit this vulnerability to launch a man-in-the-middle attack and gain access to the communication channel between endpoints to obtain sensitive information or further compromise the system.",Unproven,4.8,CVE-2020-27589,Synopsys hub-rest-api-python 0.0.25,Obtain Information,None,Adjacent Network,High,High,None,None
13,ReQuest Serious Play F3 Media Server information disclosure,"ReQuest Serious Play F3 Media Server could allow a remote attacker to obtain sensitive information, caused by a debug log disclosure vulnerability. By visiting the message_log page, a remote attacker could exploit this vulnerability to obtain the webserver's Python debug log file containing other sensitive information.",Unproven,7.5,,ReQuest Serious Play F3 Media Server 7.0.3,Obtain Information,None,Network,Low,High,None,None
14,Microsoft Visual Studio Code code execution,"Microsoft Visual Studio Code could allow a remote attacker to execute arbitrary code on the system, caused by an error when the Python extension loads a Jupyter notebook file. By persuading a victim to open specially-crafted content, an attacker could exploit this vulnerability to execute arbitrary code on the system with privileges of the victim.",Unproven,7.0,CVE-2020-16977,Microsoft Visual Studio Code,Gain Access,None,Local,High,High,High,High
15,Python multibytecodec_support.py unspecified,An unspecified error with CJK codec tests call eval() on content retrieved throug HTTP in multibytecodec_support.py in Python has an unknown impact and attack vector.,Unproven,5.3,CVE-2020-27619,Python Python 3.0,Gain Access,None,Network,Low,None,Low,None
16,Python http.client CRLF injection,"Python is vulnerable to CRLF injection, caused by improper validation of user-supplied input in http.client. By inserting CR and LF control characters in the first argument of HTTPConnection.request, a remote attacker could exploit this vulnerability to conduct various attacks against the vulnerable system, including cross-site scripting, cache poisoning or session hijacking.",Unproven,6.5,CVE-2020-26116,Python Python 3.5.9,Gain Access,None,Network,Low,Low,Low,None
17,Python TUF (The Update Framework) reference implementation security bypass,"Python TUF (The Update Framework) could allow a <remote attacker to bypass security restrictions, caused by an issue when incorrectly trusting a previously downloaded root metadata file which failed verification at download time. By using multiple new versions of root metadata, an attacker could exploit this vulnerability to control the trust chain for future updates.",Unproven,7.5,CVE-2020-15163,Python TUF 0.11,Bypass Security,None,Network,Low,None,High,None
18,Python Py denial of service,"Python Py is vulnerable to a denial of service, caused by a regular expression in the svnwc.py component. By supplying malicious input to the blame functionality, a remote attacker could exploit this vulnerability to cause a compute-time denial of service.",Proof of Concept,7.5,CVE-2020-29651,Python Py 1.9.0,Denial of Service,None,Network,Low,None,None,High
19,Django security bypass,"Django could allow a remote attacker to bypass security restrictions, caused by improper permissions in intermediate-level directories of the file system cache. By using Python 3.7+, an attacker could exploit this vulnerability to bypass access restrictions.",Unproven,5.3,CVE-2020-24584,Django Django 2.2.15,Bypass Security,None,Network,Low,None,Low,None
20,Scalyr Agent man-in-the-middle,"Scalyr Agent is vulnerable to a man-in-the-middle attack, caused by missing SSL certificate validation when the native Python code is used but lacks a comparison of the hostname to commonName and subjectAltName. An attacker could exploit this vulnerability to launch a man-in-the-middle attack and gain access to the communication channel between endpoints to obtain sensitive information or further compromise the system.",Unproven,6.5,CVE-2020-24715,Scalyr Scalyr Agent 2.1,Obtain Information,None,Network,Low,High,None,None
21,ROS actionlib code execution,"ROS actionlib could allow a local or remote attacker to execute arbitrary code on the system, caused by an unsafe parsing of YAML values. By using a specially-crafted payload, an attacker could exploit this vulnerability to execute arbitrary code in Python on the system.",Unproven,9.8,CVE-2020-10289,ROS actionlib,Gain Access,None,Network,Low,High,High,High
22,openapi-python-client code execution,"openapi-python-client could allow a remote authenticated attacker to execute arbitrary code on the system, caused by an error when a specially crafted OpenAPI Document is used to generate arbitrary Python code. By sending a specially crafted request, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,8.0,CVE-2020-15142,openapi-python-client openapi-python-client,Gain Access,Low,Network,High,High,High,High
23,openapi-python-client directory traversal,"openapi-python-client could allow a remote authenticated attacker to traverse directories on the system. By using a specially crafted OpenAPI document, an attacker could send a specially-crafted URL request containing ""dot dot"" sequences (/../) to generate arbitrary files on the system.",Unproven,3.0,CVE-2020-15141,openapi-python-client openapi-python-client,Gain Access,Low,Network,High,None,Low,None
24,SABnzbd command execution,"SABnzbd could allow a remote authenticated attacker to execute arbitrary commands on the system, caused by a command injection flaw in the web configuration interface. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary Python commands on the underlying operating system.",Unproven,8.8,CVE-2020-13124,SABnzbd SABnzbd 2.0.0RC1,Gain Access,Low,Network,Low,High,High,High
25,Python tarfile.py denial of service,"Python is vulnerable to a denial of service, caused by a flaw in the tarfile module in Lib/tarfile.py. By persuading a victim to open a specially-craft a TAR archive, a remote attacker could exploit this vulnerability to cause the application to enter into an infinite loop.",Unproven,5.5,CVE-2019-20907,Python Python 3.8.3,Denial of Service,None,Local,Low,None,None,High
26,Dogtag PKI man-in-the-middle,"Dogtag PKI is vulnerable to a man-in-the-middle attack, caused by not enabling python-requests certificate validation in the pki.client.PKIConnection class. An attacker could exploit this vulnerability to launch a man-in-the-middle attack and gain access to the communication channel between endpoints to obtain sensitive information or further compromise the system.",Unproven,4.8,CVE-2020-15720,Dogtag PKI Dogtag PKI 10.8.3,Obtain Information,None,Adjacent Network,High,High,None,None
27,Python sys.path code execution,"Python could allow a local attacker to execute arbitrary code on the system, caused by an issue with sys.path restrictions specified in a python38._pth file are ignored. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,8.4,CVE-2020-15801,Python Python 3.8.4,Gain Access,None,Local,Low,High,High,High
28,Beaker library for Python code execution,"Beaker library for Python could allow a remote attacker to execute arbitrary code on the system, caused by an unsafe deserialization in the cache database. By sending specially-crafted input, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,9.8,CVE-2013-7489,Beaker Beaker 1.11.0,Gain Access,None,Network,Low,High,High,High
29,Python ipaddress.py denial of service,"Python is vulnerable to a denial of service, caused by improper computing hash values in the IPv4Interface and IPv6Interface classes in Lib/ipaddress.py. By sending a specially-crafted request, a remote attacker could exploit this vulnerability to cause a denial of service condition.",Unproven,7.5,CVE-2020-14422,Python Python 3.8.3,Denial of Service,None,Network,Low,None,None,High
30,Python-RSA denial of service,"Python-RSA is vulnerable to a denial of service, caused by a flaw during the decryption of ciphertext. By sending a specially-crafted request, a local attacker could exploit this vulnerability to cause a denial of service condition.",Proof of Concept,6.2,CVE-2020-13757,Python-RSA Python-RSA 4.0,Denial of Service,None,Local,Low,None,None,High
31,Apple macOS Catalina code execution,"Apple macOS Catalina could allow a remote attacker to execute arbitrary code on the system, caused by a memory corruption in the Python component. By persuading a victim to visit a specially-crafted Web site, a remote attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,7.8,CVE-2020-9793,Apple macOS Catalina 10.15.4,Gain Access,None,Local,Low,High,High,High
32,Contentful cross-site scripting,"Contentful for Python is vulnerable to cross-site scripting, caused by improper validation of user-supplied input by the the-example-app.py. A remote attacker could exploit this vulnerability using the api parameter in a specially-crafted URL to execute script in a victim's Web browser within the security context of the hosting Web site, once the URL is clicked. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",High,6.1,CVE-2020-13258,Contentful Contentful 2020-05-21,Cross-Site Scripting,None,Network,Low,Low,Low,None
33,Python jw.util package code execution,"Python jw.util package could allow a remote attacker to execute arbitrary code on the system, caused by a flaw in the configuration-loading functionality. By sending a specially crafted request, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,9.8,CVE-2020-13388,Python jw.util package 2.2,Gain Access,None,Network,Low,High,High,High
34,Open edX Ironwood code execution,"Open edX Ironwood could allow a remote attacker to execute arbitrary code on the system, caused by the failure to use CodeJail. An attacker could exploit this vulnerability to go to the Create New course>New section>New subsection>New unit>Add new component>Problem button>Advanced tab>Custom Python evaluated code screen, edit the problem and execute Python code on the system.",Unproven,9.8,CVE-2020-13144,Open edX Ironwood 2.5,Gain Access,None,Network,Low,High,High,High
35,Autoswitch Python Virtualenv code execution,"Autoswitch Python Virtualenv could allow a remote authenticated attacker to execute arbitrary code on the system, caused by improper input validation. By using a specially-crafted .venv file, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,8.8,CVE-2020-11073,Autoswitch Python Virtualenv Autoswitch Python Virtualenv 1.15.2,Gain Access,Low,Network,Low,High,High,High
36,Microsoft Visual Studio Code code execution,"Microsoft Visual Studio Code could allow a remote attacker to execute arbitrary code on the system, caused by a flaw in the Python extension. By persuading a victim to open a specially-crafted file, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,8.8,CVE-2020-1192,Microsoft Visual Studio Code,Gain Access,None,Network,Low,High,High,High
37,Plex Media Server code execution,"Plex Media Server could allow a remote authenticated attacker to execute arbitrary code on the system, caused by a deserialization of untrusted data vulnerability. By sending a specially crafted request, an attacker could exploit this vulnerability to execute arbitrary Python code on the system.",Functional,8.8,CVE-2020-5741,Plex Media Server 1.18.2.2029,Gain Access,Low,Network,Low,High,High,High
38,Plex Media Server code execution,"Plex Media Server could allow a local attacker to execute arbitrary code on the system, caused by improper input validation. By sending a specially crafted request, an attacker could exploit this vulnerability to execute arbitrary Python code with SYSTEM privileges.",Unproven,8.4,CVE-2020-5740,Plex Media Server 1.18.2.2029,Gain Access,None,Local,Low,High,High,High
39,python-markdown2 cross-site scripting,"python-markdown2 is vulnerable to cross-site scripting, caused by improper validation of user-supplied input. A remote attacker could exploit this vulnerability using element names in a specially-crafted URL to execute script in a victim's Web browser within the security context of the hosting Web site, once the URL is clicked. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",High,6.1,CVE-2020-11888,python-markdown2 python-markdown2 2.3.8,Cross-Site Scripting,None,Network,Low,Low,Low,None
40,svglib external entity injection,"svglib package for Python could allow a remote attacker to obtain sensitive information, caused by improper handling of XML external entity (XXE) in binary/BinaryMapIndexReader.java. By sending a specially-crafted HTTP request, a remote attacker could exploit this vulnerability to obtain sensitive information or cause a denial of service.",Unproven,6.5,CVE-2020-10799,svglib svglib 0.9.3,Denial of Service,None,Network,Low,Low,None,Low
41,Python safety package code execution,"Python safety package could allow a remote attacker to execute arbitrary code on the system, caused by a flaw in the Safety Command-Line Tool. By sending a specially crafted request, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,9.8,CVE-2020-5252,Python safety package for Python,Gain Access,None,Network,Low,High,High,High
42,Microsoft VSCode Python Extension code execution,"Microsoft VSCode could allow a remote attacker to execute arbitrary code on the system, caused by a flaw in the Python Extension. By persuading a victim to clone a specially-crafted repository, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Proof of Concept,7.8,,Microsoft Visual Studio Code,Gain Access,None,Local,Low,High,High,High
43,PyYAML code execution,"PyYAML could allow a remote attacker to execute arbitrary code on the system, caused by an error when processing untrusted YAML files through the full_load method or with the FullLoader loader. By abusing the python/object/new constructor, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,9.8,CVE-2020-1747,PyYAML PyYAML 5.3.0,Gain Access,None,Network,Low,High,High,High
44,Zyxel CloudCNM SecuManager security bypass,"Zyxel CloudCNM SecuManager could allow a remote attacker to bypass security restrictions, caused by the use of q6xV4aW8bQ4cfD-b password for the axiros account. By sending a specially-crafted request, an attacker could exploit this vulnerability to download and upload python code, templates, webpages and ZEXPs.",Unproven,9.8,CVE-2020-15347,Zyxel CloudCNM SecuManager 3.1.0,Bypass Security,None,Network,Low,High,High,High
45,Druva inSync Mac OS Client code execution,"Druva inSync Mac OS Client could allow a local authenticated attacker to execute arbitrary code on the system, caused by improper neutralization of directives in dynamically evaluated code. By sending specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary Python expressions with root privileges.",Unproven,7.8,CVE-2019-4000,Druva inSync Mac OS Client 6.5.0,Gain Privileges,Low,Local,Low,High,High,High
46,Python denial of service,"Python is vulnerable to a denial of service, caused by a flaw in the urllib.request.AbstractBasicAuthHandler. By sending a specially crafted request, a remote attacker could exploit this vulnerability to cause a Regular Expression Denial of Service (ReDoS).",Unproven,5.3,CVE-2020-8492,Python Python 3.5,Denial of Service,None,Network,Low,None,None,Low
47,TensorFlow tf.float16 value denial of service,"Tensorflow is vulnerable to a denial of service, caused by a flaw when converting a string (from Python) to a tf.float16 value. By sending a specially-crafted string, a remote attacker could exploit this vulnerability to cause a segmentation fault.",Unproven,5.3,CVE-2020-5215,TensorFlow TensorFlow 1.12.0,Denial of Service,None,Network,Low,None,None,Low
48,Python interface to the apt package manager security bypass,Python interface to the apt package manager could allow a remote attacker to bypass security restrictions. An attacker could exploit this vulnerability to install packages from untrusted repositories.,Unproven,5.3,CVE-2019-15796,Python python-apt 1.8.4.1,Bypass Security,None,Network,Low,None,Low,None
49,Python interface to the apt package manager man-in-the-middle,"Python interface to the apt package manager is vulnerable to a man-in-the-middle attack, caused by the continued use of MD5 hashes to validate certain downloaded packages. By using man-in-the-middle techniques, an attacker could exploit this vulnerability to install altered packages.",Unproven,4.3,CVE-2019-15795,Python python-apt 1.8.4.1,Gain Access,None,Network,Low,None,Low,None
50,Python code execution,"Python could allow a remote attacker to execute arbitrary code on the system, caused by an insecure dependency load upon launch on Windows 7. An attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,9.8,CVE-2020-8315,Python Python 3.7,Gain Access,None,Network,Low,High,High,High
51,Mozilla Firefox code execution,"Mozilla Firefox could allow a remote attacker to execute arbitrary code on the system, caused by an error when Python was installed on Windows. By persuading a victim to visit a specially-crafted Web site, a remote attacker could exploit this vulnerability to inadvertently execute Python files upon opening a download.",Unproven,8.8,CVE-2019-17019,Mozilla Firefox 71,Gain Access,None,Network,Low,High,High,High
52,Pillow TIFF decoding buffer overflow,"Python Pillow is vulnerable to an integer overflow, caused by improper calculation of memory block reallocation by libImaging/TiffDecode.c. By persuading a victim to open a specially-crafted TIFF image, a remote attacker could overflow a buffer and cause the application to crash.",Unproven,5.5,CVE-2020-5310,Python Pillow 2.3.0,Gain Access,None,Local,Low,None,None,High
53,Python Pillow PCX buffer overflow,"Python Pillow is vulnerable to a buffer overflow, caused by improper bounds checking by libImaging/PcxDecode.c. By persuading a victim to open a specially-crafted PCX file, a remote attacker could overflow a buffer and execute arbitrary code on the system or cause the application to crash.",Unproven,7.8,CVE-2020-5312,Python Pillow 2.3.0,Gain Access,None,Local,Low,High,High,High
54,Python Pillow SGI buffer overflow,"Python Pillow is vulnerable to a buffer overflow, caused by improper bounds checking by libImaging/SgiRleDecode.c. By persuading a victim to open a specially-crafted SGI file, a remote attacker could overflow a buffer and execute arbitrary code on the system or cause the application to crash.",Unproven,7.8,CVE-2020-5311,Python Pillow 2.3.0,Gain Access,None,Local,Low,High,High,High
55,Python Pillow FLI buffer overflow,"Python Pillow is vulnerable to a buffer overflow, caused by improper bounds checking by libImaging/FliDecode.c. By persuading a victim to open a specially-crafted FLI file, a remote attacker could overflow a buffer and execute arbitrary code on the system or cause the application to crash.",Unproven,7.8,CVE-2020-5313,Python Pillow 2.3.0,Gain Access,None,Local,Low,High,High,High
56,Python Pillow package denial of service,"Python Pillow package is vulnerable to a denial of service, caused by an OverflowError or MemoryError in FpxImagePlugin.py. By persuading a victim to open a specially-crafted file, a remote attacker could exploit this vulnerability to cause a denial of service condition.",Unproven,3.3,CVE-2019-19911,Python Pillow 6.2.1,Denial of Service,None,Local,Low,None,None,Low
57,python-ecdsa DER encoding denial of service,"python-ecdsa is vulnerable to a denial of service, caused by the failure to verify DER encoding in signatures. By using specially-crafted DER signatures, a remote attacker could exploit this vulnerability to cause a denial of service.",Unproven,5.3,CVE-2019-14859,python-ecdsa python-ecdsa 0.13.2,Denial of Service,None,Network,Low,None,None,Low
58,python-markdown2 cross-site scripting,"python-markdown2 is vulnerable to cross-site scripting, caused by improper validation of user-supplied input. A remote attacker could exploit this vulnerability to execute script in a victim's Web browser within the security context of the hosting Web site. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",High,6.1,CVE-2009-3724,python-markdown python-markdown 2.0,Cross-Site Scripting,None,Network,Low,Low,Low,None
59,Python urllib2 header injection,"Python is vulnerable to HTTP header injection, caused by improper validation of input in the urllib2. By sending a specially-crafted request, a remote attacker could exploit this vulnerability to inject arbitrary HTTP headers, which will allow the attacker to conduct various attacks against the vulnerable system, including cross-site scripting, cache poisoning or session hijacking.",Unproven,5.4,CVE-2019-18348,Python Python 2.7.17,Gain Access,None,Network,Low,Low,Low,None
60,python-ecdsa denial of service,"python-ecdsa is vulnerable to a denial of service, caused by an error-handling flaw. By using malformed DER signatures, a remote attacker could exploit this vulnerability to cause the application to crash.",Unproven,5.3,CVE-2019-14853,python-ecdsa python-ecdsa 0.13.2,Denial of Service,None,Network,Low,None,None,Low
61,Python DocXMLRPCServer.py cross-site scripting,"Python is vulnerable to cross-site scripting, caused by improper validation of user-supplied input by the python/Lib/DocXMLRPCServer.py. A remote attacker could exploit this vulnerability using the server_title field to inject malicious script into a Web page which would be executed in a victim's Web browser within the security context of the hosting Web site, once the URL is clicked. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",High,6.1,CVE-2019-16935,Python Python 2.7.16,Cross-Site Scripting,None,Network,Low,Low,Low,None
62,pam-python privilege escalation,"pam-python could allow a local authenticated attacker to gain elevated privileges on the system, caused by a flaw in the default environment variable handling of Python. An attacker could exploit this vulnerability to escalate privileges in certain PAM setups.",Unproven,7.8,CVE-2019-16729,pam-python pam-python 1.0.7,Gain Privileges,Low,Local,Low,High,High,High
63,Elastic APM agent for Python information disclosure,"Elastic APM agent for Python could allow a remote attacker to obtain sensitive information, caused by a variable name clash flaw. By using a specially-crafted proxy header, a remote attacker could exploit this vulnerability to obtain sensitive information.",Unproven,5.3,CVE-2019-7617,Elastic APM agent for Python 5.0.0,Obtain Information,None,Network,Low,Low,None,None
64,python-engineio webSocket security bypass,"python-engineio could allow a remote attacker to bypass security restrictions, caused by a cross-site webSocket hijacking (CSWSH) vulnerability. By persuading a victim to visit a specially-crafted Web site, an attacker could exploit this vulnerability to initiate webSocket connections to a server.",Unproven,6.5,CVE-2019-13611,python-engineio python-engineio 3.8.2,Bypass Security,None,Network,Low,None,High,None
